Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
3,"System.Double.ToString()",2,0.00,0.00,0.58,0.58,"System.Runtime.dll",
3,"MemoryProtection.MemoryProtection.ProtectedMemory.Write(uint8[],int32)",1,0.00,0.00,1.14,0.81,"MemoryProtection.dll",
4,"MemoryProtection.MemoryProtection.ProtectedMemory.Unprotect()",1,0.00,0.00,0.31,0.28,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Unprotect()",1,0.00,0.00,0.03,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptUnprotectMemory(native int,uint32,uint32)",1,0.00,0.00,0.03,0.03,"MemoryProtection.dll",
4,"MemoryProtection.MemoryProtection.ProtectedMemory.IsOutOfBoundes(int32)",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
5,"System.IntPtr.op_Explicit(native int)",2,0.00,0.00,0.00,0.00,"System.Runtime.dll",
4,"MemoryProtection.MemoryProtection.ProtectedMemory.Protect()",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",1,0.00,0.00,0.01,0.01,"MemoryProtection.dll",
4,"System.Runtime.InteropServices.Marshal.Copy(uint8[],int32,native int,int32)",1,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
4,"System.IntPtr.op_Addition(native int,int32)",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
3,"System.Text.Encoding.GetBytes(string)",1,0.00,0.00,0.49,0.49,"System.Runtime.dll",
3,"System.IDisposable.Dispose()",1,0.00,0.00,0.21,0.20,"System.Runtime.dll",
4,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Free()",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.ProtectedMemory.Unprotect()",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Unprotect()",1,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptUnprotectMemory(native int,uint32,uint32)",1,0.00,0.00,0.01,0.01,"MemoryProtection.dll",
5,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)",1,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
3,"System.Diagnostics.Stopwatch.Start()",1,0.00,0.00,0.13,0.13,"System.Runtime.Extensions.dll",
3,"System.Object.ToString()",1,0.00,0.00,0.11,0.11,"System.Runtime.dll",
3,"System.Diagnostics.Stopwatch.Stop()",1,0.00,0.00,0.04,0.04,"System.Runtime.Extensions.dll",
3,"System.Diagnostics.Stopwatch..ctor()",1,0.00,0.00,0.03,0.03,"System.Runtime.Extensions.dll",
3,"System.String.Concat(string,string)",1,0.00,0.00,0.01,0.01,"System.Runtime.dll",
3,"System.Text.Encoding.get_UTF8()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
3,"System.Diagnostics.Stopwatch.get_Elapsed()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
3,"System.String.Concat(string,string,string)",2,0.00,0.00,0.00,0.00,"System.Runtime.dll",
3,"System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
